GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
rimO,cds-WP_011131740.1,106023,107387,108,PMM0102,NC_005072.1,+,NA,"ko00000,ko01000,ko03009",,,J,2.8.4.4,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006464,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016782,GO:0018193,GO:0018197,GO:0018198,GO:0018339,GO:0019538,GO:0034470,GO:0034641,GO:0034660,GO:0035596,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0048037,GO:0050497,GO:0051536,GO:0051539,GO:0051540,GO:0071704,GO:0090304,GO:0103039,GO:0140096,GO:1901360,GO:1901564",,,R10652,,ko:K14441,"RC00003,RC03217","COG0621@1|root,COG0621@2|Bacteria,1G07B@1117|Cyanobacteria,1MKM9@1212|Prochloraceae","Radical_SAM,TRAM,UPF0004",rimO,Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12,0,1117|Cyanobacteria,894,59919.PMM0102,100,,rimO,30S ribosomal protein S12 methylthiotransferase RimO,WP_011131740.1,CDS
PMM0103,cds-WP_011131742.1,107552,107938,109,PMM0103,NC_005072.1,-,NA,,,,H,,,,,,,,,"COG4063@1|root,COG4063@2|Bacteria,1GE6P@1117|Cyanobacteria,1MPNM@1212|Prochloraceae",DUF4346,,Alternative locus ID,1.19E-89,1117|Cyanobacteria,262,59919.PMM0103,100,,,DUF4346 domain-containing protein,WP_011131742.1,CDS
PMM0104,cds-WP_011131743.1,108003,109157,110,PMM0104,NC_005072.1,-,NA,ko00000,,,S,,,,,,,ko:K09919,,"COG3146@1|root,COG3146@2|Bacteria,1G0U8@1117|Cyanobacteria,1MKZN@1212|Prochloraceae",FemAB_like,,Alternative locus ID,4.93E-291,1117|Cyanobacteria,793,59919.PMM0104,100,,,GNAT family N-acetyltransferase,WP_011131743.1,CDS
ribG,cds-WP_011131744.1,109169,109831,111,PMM0105,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,H,1.1.1.193,,M00125,"ko00740,ko01100,ko01110,map00740,map01100,map01110",R03458,,ko:K00082,RC00933,"COG1985@1|root,COG1985@2|Bacteria,1GDIV@1117|Cyanobacteria,1MMKH@1212|Prochloraceae",RibD_C,ribG,Alternative locus ID,5.26E-156,1117|Cyanobacteria,437,59919.PMM0105,100,,,dihydrofolate reductase family protein,WP_011131744.1,CDS
PMM0106,cds-WP_011131745.1,109828,110754,112,PMM0106,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000,ko03016",,,H,"4.1.2.50,4.2.3.12",,"M00842,M00843","ko00790,ko01100,map00790,map01100","R04286,R09959",,ko:K01737,"RC01117,RC02846,RC02847","COG0720@1|root,COG0720@2|Bacteria,1G0ND@1117|Cyanobacteria,1MKEV@1212|Prochloraceae",PTPS,,Alternative locus ID,1.19E-230,1117|Cyanobacteria,634,59919.PMM0106,100,,,6-carboxytetrahydropterin synthase,WP_011131745.1,CDS
aroK,cds-WP_011131746.1,110805,111362,113,PMM0107,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,F,2.7.1.71,"GO:0000166,GO:0003674,GO:0003824,GO:0004765,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009423,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019438,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046417,GO:0046872,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",M00022,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",R02412,,ko:K00891,"RC00002,RC00078","COG0703@1|root,COG0703@2|Bacteria,1GCJE@1117|Cyanobacteria,1MMMZ@1212|Prochloraceae",SKI,aroK,Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate,1.32E-125,1117|Cyanobacteria,358,59919.PMM0107,100,,,shikimate kinase,WP_011131746.1,CDS
PMM0108,cds-WP_011131747.1,111359,111616,114,PMM0108,NC_005072.1,-,NA,,,,S,,,,,,,,,"2CG63@1|root,34A2Y@2|Bacteria,1GEXH@1117|Cyanobacteria,1MN2D@1212|Prochloraceae",CRR7,,Alternative locus ID,3.24E-40,1117|Cyanobacteria,134,1501268.EW14_0134,100,,,chlororespiratory reduction protein 7,WP_011131747.1,CDS
PMM0109,cds-WP_011131748.1,111615,112325,115,PMM0109,NC_005072.1,+,NA,,,,S,,,,,,,,,"28J5U@1|root,33ZG6@2|Bacteria,1GE8V@1117|Cyanobacteria",,,Alternative locus ID,8.38E-170,1117|Cyanobacteria,474,59919.PMM0109,100,,,hypothetical protein,WP_011131748.1,CDS
gst1,cds-WP_011131749.1,112312,113037,116,PMM0110,NC_005072.1,-,NA,"ko00000,ko00001,ko01000,ko02000",,,O,2.5.1.18,,,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418","R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905","1.A.12.2.2,1.A.12.3.2",ko:K00799,"RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944","COG0625@1|root,COG0625@2|Bacteria,1G1DY@1117|Cyanobacteria,1MM91@1212|Prochloraceae","GST_C,GST_C_2,GST_N_3",gst1,glutathione S-transferase,8.67E-170,1117|Cyanobacteria,474,59919.PMM0110,100,,,glutathione S-transferase family protein,WP_011131749.1,CDS
rbfA,cds-WP_011131751.1,113301,113699,118,PMM0112,NC_005072.1,+,NA,"ko00000,ko03009",,,J,,"GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009266,GO:0009409,GO:0009628,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0019843,GO:0022613,GO:0030490,GO:0033554,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043021,GO:0043024,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363",,,,,ko:K02834,,"COG0858@1|root,COG0858@2|Bacteria",RBFA,rbfA,rRNA processing,2.99E-85,2|Bacteria,251,59919.PMM0112,100,,rbfA,30S ribosome-binding factor RbfA,WP_011131751.1,CDS
PMM0114,cds-WP_011131753.1,114476,114946,120,PMM0114,NC_005072.1,-,NA,,,,S,,,,,,,,,"COG5637@1|root,COG5637@2|Bacteria,1GBN0@1117|Cyanobacteria,1MMGQ@1212|Prochloraceae",Polyketide_cyc,,Alternative locus ID,1.29E-111,1117|Cyanobacteria,320,59919.PMM0114,100,,,SRPBCC family protein,WP_011131753.1,CDS
zds,cds-WP_011131754.1,114949,116403,121,PMM0115,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,S,1.3.5.6,"GO:0003674,GO:0003824,GO:0006629,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016119,GO:0016491,GO:0016627,GO:0016635,GO:0016705,GO:0016719,GO:0042214,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046148,GO:0052886,GO:0052887,GO:0052889,GO:0055114,GO:0071704,GO:1901576",M00097,"ko00906,ko01100,ko01110,map00906,map01100,map01110","R04798,R04800,R07511,R09656,R09658",,ko:K00514,"RC01214,RC01959","COG3349@1|root,COG3349@2|Bacteria,1G09Q@1117|Cyanobacteria,1MKXV@1212|Prochloraceae",Amino_oxidase,crtQ,Catalyzes the conversion of zeta-carotene to lycopene via the intermediary of neurosporene. It carries out two consecutive desaturations (introduction of double bonds) at positions C-7 and C-7',0,1117|Cyanobacteria,974,59919.PMM0115,99.8,,zds,9%2C9'-di-cis-zeta-carotene desaturase,WP_011131754.1,CDS
PMM0116,cds-WP_011131755.1,116503,116895,122,PMM0116,NC_005072.1,+,NA,"ko00000,ko03016",,,S,,"GO:0003674,GO:0005198,GO:0005488,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016043,GO:0016226,GO:0019538,GO:0022607,GO:0031163,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0048037,GO:0051186,GO:0051536,GO:0051537,GO:0051540,GO:0051604,GO:0071704,GO:0071840,GO:0097428,GO:1901564",,,,,ko:K13628,,"COG0316@1|root,COG0316@2|Bacteria,1G822@1117|Cyanobacteria,1MMNM@1212|Prochloraceae",Fe-S_biosyn,,Belongs to the HesB IscA family,1.33E-87,1117|Cyanobacteria,257,59919.PMM0116,100,,,iron-sulfur cluster assembly accessory protein,WP_011131755.1,CDS
PMM0117,cds-WP_011131756.1,116904,117332,123,PMM0117,NC_005072.1,+,NA,,,,NU,,,,,,,,,"COG3063@1|root,COG3063@2|Bacteria,1GQBS@1117|Cyanobacteria,1MMHJ@1212|Prochloraceae",,,Alternative locus ID,1.01E-99,1117|Cyanobacteria,289,59919.PMM0117,100,,,hypothetical protein,WP_011131756.1,CDS
PMM0118,cds-WP_011131757.1,117334,118533,124,PMM0118,NC_005072.1,+,NA,,,,S,,,,,,,,,"COG4370@1|root,COG4370@2|Bacteria,1G0KE@1117|Cyanobacteria,1MKZR@1212|Prochloraceae",,,Alternative locus ID,5.35E-289,1117|Cyanobacteria,789,59919.PMM0118,100,,,lipid-A-disaccharide synthase-related protein,WP_011131757.1,CDS
PMM0119,cds-WP_011131758.1,118530,118799,125,PMM0119,NC_005072.1,+,NA,,,,None,,,,,,,,,"2B8ZN@1|root,322AA@2|Bacteria,1GN3S@1117|Cyanobacteria,1MNTF@1212|Prochloraceae",,,None,6.90E-16,1117|Cyanobacteria,73.2,1501268.EW14_0145,100,,,hypothetical protein,WP_011131758.1,CDS
PMM0120,cds-WP_011131759.1,118750,119682,126,PMM0120,NC_005072.1,-,NA,ko00000,,,D,,"GO:0003674,GO:0003824,GO:0005488,GO:0048037,GO:0050662",,,,,ko:K07071,,"COG1090@1|root,COG1090@2|Bacteria,1G1NR@1117|Cyanobacteria,1MM31@1212|Prochloraceae","DUF1731,Epimerase",,Cell division inhibitor,6.81E-222,1117|Cyanobacteria,612,59919.PMM0120,100,,,TIGR01777 family oxidoreductase,WP_011131759.1,CDS
ndhO,cds-WP_011131760.1,119826,120068,127,PMM0121,NC_005072.1,+,NA,,,,C,,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0008150,GO:0008152,GO:0009579,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0048037,GO:0048038,GO:0055114,GO:0071944",,,,,,,"2E2Z4@1|root,31XXZ@2|Bacteria,1GHZG@1117|Cyanobacteria,1MMQC@1212|Prochloraceae",NdhO,ndhO,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration",1.41E-52,1117|Cyanobacteria,165,59919.PMM0121,100,,,NAD(P)H-quinone oxidoreductase subunit O,WP_011131760.1,CDS
PMM0122,cds-WP_011131761.1,120073,120750,128,PMM0122,NC_005072.1,-,NA,"ko00000,ko03029,ko03110",,,O,,,,,,,ko:K03686,,"COG0484@1|root,COG0484@2|Bacteria,1G2FB@1117|Cyanobacteria,1MM63@1212|Prochloraceae",DnaJ,,Alternative locus ID,1.62E-157,1117|Cyanobacteria,442,59919.PMM0122,100,,,J domain-containing protein,WP_011131761.1,CDS
cysK1,cds-WP_011131762.1,120767,121735,129,PMM0123,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,E,2.5.1.47,,M00021,"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230","R00897,R03601,R04859",,ko:K01738,"RC00020,RC02814,RC02821","COG0031@1|root,COG0031@2|Bacteria,1GCQX@1117|Cyanobacteria,1MKPM@1212|Prochloraceae",PALP,cysK2,Belongs to the cysteine synthase cystathionine beta- synthase family,1.38E-227,1117|Cyanobacteria,627,59919.PMM0123,100,,cysK,cysteine synthase A,WP_011131762.1,CDS
PMM0124,cds-WP_011131763.1,121892,122161,130,PMM0124,NC_005072.1,+,NA,,,,S,,,,,,,,,"2E3BM@1|root,32YB3@2|Bacteria,1G9FT@1117|Cyanobacteria,1MMX4@1212|Prochloraceae",,,Belongs to the UPF0367 family,4.82E-55,1117|Cyanobacteria,172,59919.PMM0124,100,,,hypothetical protein,WP_011131763.1,CDS
cds-WP_011131764.1,cds-WP_011131764.1,122163,122846,131,NA,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko02000",,,P,,,M00582,"ko02010,map02010",,"3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35",ko:K16786,,"COG1122@1|root,COG1122@2|Bacteria,1G0FZ@1117|Cyanobacteria,1MM8N@1212|Prochloraceae",ABC_tran,,ATP-binding component,8.37E-161,1117|Cyanobacteria,450,59919.PMM0125,100,,,energy-coupling factor ABC transporter ATP-binding protein,WP_011131764.1,CDS
PMM0127,cds-WP_011131766.1,124573,124932,134,PMM0127,NC_005072.1,-,NA,,,,S,,,,,,,,,"29N2J@1|root,3090B@2|Bacteria,1GIPF@1117|Cyanobacteria,1MMFW@1212|Prochloraceae",,,Alternative locus ID,1.33E-75,1117|Cyanobacteria,226,59919.PMM0127,100,,,hypothetical protein,WP_011131766.1,CDS
rpaA,cds-WP_011131767.1,125358,126113,135,PMM0128,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko02022",,,T,,,M00467,"ko02020,map02020",,,ko:K10697,,"COG0745@1|root,COG0745@2|Bacteria,1G1EZ@1117|Cyanobacteria,1MKDA@1212|Prochloraceae","Response_reg,Trans_reg_C",rpaA,Alternative locus ID,2.92E-182,1117|Cyanobacteria,506,59919.PMM0128,100,,,response regulator transcription factor,WP_011131767.1,CDS
holB,cds-WP_011131768.1,126143,127102,136,PMM0129,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",,,L,2.7.7.7,,M00260,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","R00375,R00376,R00377,R00378",,ko:K02341,RC02795,"COG0470@1|root,COG0470@2|Bacteria,1G1VP@1117|Cyanobacteria,1MMAC@1212|Prochloraceae",DNA_pol3_delta2,holB,III delta prime subunit,2.47E-224,1117|Cyanobacteria,619,59919.PMM0129,100,,,DNA polymerase III subunit delta',WP_011131768.1,CDS
tmk,cds-WP_011131769.1,127095,127739,137,PMM0130,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,F,2.7.4.9,"GO:0000166,GO:0003674,GO:0003824,GO:0004798,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006227,GO:0006233,GO:0006235,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009165,GO:0009186,GO:0009189,GO:0009196,GO:0009197,GO:0009200,GO:0009202,GO:0009211,GO:0009212,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019692,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046072,GO:0046075,GO:0046077,GO:0046385,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",M00053,"ko00240,ko01100,map00240,map01100","R02094,R02098",,ko:K00943,RC00002,"COG0125@1|root,COG0125@2|Bacteria,1G52G@1117|Cyanobacteria,1MMBP@1212|Prochloraceae",Thymidylate_kin,tmk,Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis,9.81E-149,1117|Cyanobacteria,419,59919.PMM0130,100,,tmk,dTMP kinase,WP_011131769.1,CDS
zntA,cds-WP_011131770.1,127740,130037,138,PMM0131,NC_005072.1,-,NA,"ko00000,ko01000",,,P,3.6.3.4,"GO:0000041,GO:0000166,GO:0003674,GO:0003824,GO:0004008,GO:0005215,GO:0005375,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0008144,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035434,GO:0035639,GO:0036094,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043169,GO:0043492,GO:0043682,GO:0044425,GO:0044464,GO:0046872,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0060003,GO:0071944,GO:0090662,GO:0097159,GO:0097367,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132,GO:1901265,GO:1901363",,,R00086,3.A.3.5,ko:K01533,RC00002,"COG2217@1|root,COG2217@2|Bacteria,1G05S@1117|Cyanobacteria,1MKHN@1212|Prochloraceae","E1-E2_ATPase,HMA,Hydrolase",zntA,"cadmium, zinc and mercury transporting ATPase",0,1117|Cyanobacteria,1448,59919.PMM0131,100,,,cation-translocating P-type ATPase,WP_011131770.1,CDS
ycf3,cds-WP_011131771.1,130155,130676,139,PMM0132,NC_005072.1,+,NA,,,,NU,,"GO:0005575,GO:0005622,GO:0005623,GO:0008150,GO:0008152,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0034357,GO:0042651,GO:0044237,GO:0044424,GO:0044436,GO:0044464",,,,,,,"COG3063@1|root,COG3063@2|Bacteria,1GC0S@1117|Cyanobacteria,1MKZW@1212|Prochloraceae","TPR_1,TPR_12,TPR_2,TPR_7,TPR_8",ycf3,Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits,3.44E-122,1117|Cyanobacteria,348,59919.PMM0132,100,,,photosystem I assembly protein Ycf3,WP_011131771.1,CDS
radA,cds-WP_011131772.1,130689,132041,140,PMM0133,NC_005072.1,-,NA,"ko00000,ko03400",,,O,,,,,,,ko:K04485,,"COG1066@1|root,COG1066@2|Bacteria,1GBIV@1117|Cyanobacteria,1MKI6@1212|Prochloraceae","AAA_25,ATPase,ChlI",radA,"DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function",9.24e-317,1117|Cyanobacteria,864,59919.PMM0133,100,,radA,DNA repair protein RadA,WP_011131772.1,CDS
rpaB,cds-WP_011131773.1,132148,132894,141,PMM0134,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko02022",,,KT,,,M00467,"ko02020,map02020",,,ko:K11329,,"COG0745@1|root,COG0745@2|Bacteria,1G0YA@1117|Cyanobacteria,1MKYP@1212|Prochloraceae","Response_reg,Trans_reg_C",rpaB,Alternative locus ID,1.19E-175,1117|Cyanobacteria,489,167542.P9515_01621,100,,,response regulator transcription factor,WP_011131773.1,CDS
plsX,cds-WP_011131774.1,132895,134295,142,PMM0135,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01004",,,I,2.3.1.15,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019637,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:0090407,GO:1901576",M00089,"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110","R00851,R09380",,ko:K03621,"RC00004,RC00039,RC00041","COG0416@1|root,COG0416@2|Bacteria,1G1CT@1117|Cyanobacteria,1MM7W@1212|Prochloraceae",FA_synthesis,plsX,"Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA",2.66E-307,1117|Cyanobacteria,841,59919.PMM0135,100,,plsX,phosphate acyltransferase PlsX,WP_011131774.1,CDS
fabH,cds-WP_011131775.1,134349,135356,143,PMM0136,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01004",,,I,2.3.1.180,"GO:0003674,GO:0003824,GO:0004312,GO:0004315,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0032787,GO:0033818,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:1901576","M00082,M00083","ko00061,ko01100,ko01212,map00061,map01100,map01212",R10707,,ko:K00648,"RC00004,RC02729,RC02888","COG0332@1|root,COG0332@2|Bacteria,1G0XJ@1117|Cyanobacteria,1MKRZ@1212|Prochloraceae","ACP_syn_III,ACP_syn_III_C",fabH,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids,9.48E-237,1117|Cyanobacteria,651,59919.PMM0136,100,,,ketoacyl-ACP synthase III,WP_011131775.1,CDS
fabD,cds-WP_011131776.1,135371,136267,144,PMM0137,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01004",,,I,2.3.1.39,"GO:0003674,GO:0003824,GO:0004312,GO:0004314,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016417,GO:0016419,GO:0016420,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:0072330,GO:1901576",M00082,"ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212","R01626,R11671",,ko:K00645,"RC00004,RC00039,RC02727","COG0331@1|root,COG0331@2|Bacteria,1FZZ5@1117|Cyanobacteria,1MKRT@1212|Prochloraceae",Acyl_transf_1,fabD,Malonyl CoA-acyl carrier protein transacylase,5.12E-211,1117|Cyanobacteria,583,59919.PMM0137,100,,fabD,ACP S-malonyltransferase,WP_011131776.1,CDS
plsC,cds-WP_011131777.1,136272,136892,145,PMM0138,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko01004",,,I,2.3.1.51,,M00089,"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110","R02241,R09381",,ko:K00655,"RC00004,RC00037,RC00039","COG0204@1|root,COG0204@2|Bacteria,1G173@1117|Cyanobacteria,1MKSH@1212|Prochloraceae",Acyltransferase,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,1.64E-143,1117|Cyanobacteria,405,59919.PMM0138,100,,,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_011131777.1,CDS
PMM0139,cds-WP_011131778.1,136897,137547,146,PMM0139,NC_005072.1,-,NA,,,,O,,,,,,,,,"COG1214@1|root,COG1214@2|Bacteria,1G57V@1117|Cyanobacteria,1MMDS@1212|Prochloraceae",Peptidase_M22,,Molecular chaperone,1.08E-137,1117|Cyanobacteria,391,59919.PMM0139,100,,,hypothetical protein,WP_011131778.1,CDS
ycf34,cds-WP_011131779.1,137554,137805,147,PMM0140,NC_005072.1,-,NA,,,,S,,,,,,,,,"2CIZY@1|root,32S8W@2|Bacteria,1G7TV@1117|Cyanobacteria,1MMYW@1212|Prochloraceae",Ycf34,ycf34,Alternative locus ID,3.48E-61,1117|Cyanobacteria,187,59919.PMM0140,100,,,Ycf34 family protein,WP_011131779.1,CDS
